pilot_group,question_id,question_type,domain,category,subcategory,pillar,item,question_text_ko,question_text_vi,answer_type,unit,framework_refs,forbidden_rule,must_return_insufficient_if_missing,notes,status
pilot_quantitative,QT-001,quantitative,Social,Constituent profile,Total employees,,,보고 연도 기준 총 구성원 수는 얼마인가요?,Tong so nhan su cua cong ty trong nam bao cao la bao nhieu?,number,명,"GRI:2-7-a","Khong duoc suy doan tu mo ta chung neu khong co so lieu tong",true,"Seed: 사회 / 구성원 현황 / 총 구성원 수",pilot_draft
pilot_quantitative,QT-002,quantitative,Social,Constituent profile,Gender,,Female,여성 구성원 비율은 몇 퍼센트인가요?,Ty le nhan su nu trong tong lao dong la bao nhieu phan tram?,percentage,%,"GRI:405-1-b-i; K-ESG:S-3-1","Khong duoc tu tinh neu tai lieu thieu tong so lao dong",true,"Seed: 사회 / 구성원 현황 / 성별 / 여성",pilot_draft
pilot_quantitative,QT-003,quantitative,Social,Constituent profile,Permanent employee ratio,,,정규직 직원 비율은 몇 퍼센트인가요?,Ty le nhan su chinh thuc trong tong lao dong la bao nhieu phan tram?,percentage,%,"","Khong duoc noi xap xi neu tai lieu khong co ty le ro rang",true,"Seed: 사회 / 구성원 현황 / 정규직 직원 비율",pilot_draft
pilot_quantitative,QT-004,quantitative,Social,Diversity,Disability employment,,,장애인 고용률은 몇 퍼센트인가요?,Ty le lao dong khuyet tat la bao nhieu phan tram?,percentage,%,"","Khong duoc doi tu so luong sang ty le neu tai lieu khong co mau so",true,"Seed: 사회 / 다양성 / 장애인 고용률",pilot_draft
pilot_quantitative,QT-005,quantitative,Social,Constituent profile,New hires total,,,총 신규 채용 인원 수는 얼마인가요?,Tong so nhan su moi duoc tuyen trong nam bao cao la bao nhieu?,number,명,"","Khong duoc gom nhieu ky bao cao vao mot dap an",true,"Seed: 사회 / 구성원 현황 / 총 신규 채용 인원 수",pilot_draft
pilot_quantitative,QT-006,quantitative,Social,Constituent profile,Voluntary turnover,,,총 자발적 이직률은 몇 퍼센트인가요?,Ty le tu nghi viec tu nguyen tong la bao nhieu phan tram?,percentage,%,"","Khong duoc dung ty le nghi viec tong neu tai lieu tach rieng ma khong co tong",true,"Seed: 사회 / 구성원 현황 / 총 자발적 이직률",pilot_draft
pilot_quantitative,QT-007,quantitative,Social,Work-life balance,Parental leave return rate,,,육아휴직 복귀율은 몇 퍼센트인가요?,Ty le quay lai lam viec sau nghi thai san hoac cham soc con la bao nhieu phan tram?,percentage,%,"","Khong duoc su dung so nguoi quay lai thay cho ty le neu tai lieu khong cho ty le",true,"Seed: 사회 / 일과 삶의 균형 지원 / 육아휴직제도 사용 후 복귀율",pilot_draft
pilot_quantitative,QT-008,quantitative,Social,Safety management,Safety training participation,,Safety training participants,안전보건교육 참여 구성원 수는 얼마인가요?,So nhan su tham gia dao tao an toan suc khoe nghe nghiep la bao nhieu?,number,명,"","Khong duoc dung so doi tuong dao tao thay cho so nguoi tham gia",true,"Seed: 사회 / 안전보건경영체계 / 안전보건 교육 / 안전보건교육 참여 구성원 수",pilot_draft
pilot_quantitative,QT-009,quantitative,Social,Industrial accidents,Employee safety metrics,,LTIFR,근로손실재해율(LTIFR)은 얼마인가요?,Chi so LTIFR trong nam bao cao la bao nhieu?,number,LTIFR,"","Khong duoc thay LTIFR bang accident rate thong thuong",true,"Seed: 사회 / 산업 재해 / 직원 / 근로손실재해율",pilot_draft
pilot_quantitative,QT-010,quantitative,Environment,GHG and energy,GHG emissions,,Total emissions,총 온실가스 배출량은 얼마인가요?,Tong luong phat thai khi nha kinh la bao nhieu?,number,tCO2-eq,"","Khong duoc cong scope 1 va 2 neu tai lieu da co tong chinh thuc rieng",true,"Seed: 환경 / 온실가스 및 에너지 / 온실가스 배출량 / 총 온실가스 배출량",pilot_draft
pilot_quantitative,QT-011,quantitative,Environment,GHG and energy,Renewable energy ratio,,,재생 에너지 사용 비율은 몇 퍼센트인가요?,Ty le su dung nang luong tai tao la bao nhieu phan tram?,percentage,%,"","Khong duoc tu tinh neu chi co mot phan du lieu nang luong",true,"Seed: 환경 / 온실가스 및 에너지 / 재생 에너지 사용 비율",pilot_draft
pilot_quantitative,QT-012,quantitative,Environment,Waste and recycling,Recycling rate,,,폐기물 재활용률은 몇 퍼센트인가요?,Ty le tai che chat thai la bao nhieu phan tram?,percentage,%,"","Khong duoc thay recycling amount cho recycling rate",true,"Seed: 환경 / 폐기물 및 재활용 / 폐기물 재활용률",pilot_draft
pilot_quantitative,QT-013,quantitative,Environment,Environmental compliance,Violation count,,,환경 관련 법규 및 규정 위반 건수는 몇 건인가요?,So vu vi pham quy dinh phap ly ve moi truong la bao nhieu?,number,건,"","Khong duoc gom phat tien va vi pham thanh mot chi so",true,"Seed: 환경 / 환경 컴플라이언스 / 법적 의무 및 규정 위반 건수",pilot_draft
pilot_quantitative,QT-014,quantitative,Governance,Ethics monitoring,Whistleblowing reports,,,윤리 위반 제보 건수는 몇 건인가요?,So vu bao cao to cao vi pham dao duc la bao nhieu?,number,건,"","Khong duoc dung so vu da xu ly thay cho so vu duoc bao cao",true,"Seed: 거버넌스 / 윤리 모니터링 / 윤리 위반 제보 건수",pilot_draft
pilot_quantitative,QT-015,quantitative,Governance,Ethics training,Completion rate,,,윤리교육 이수율은 몇 퍼센트인가요?,Ty le hoan thanh dao tao dao duc la bao nhieu phan tram?,percentage,%,"","Khong duoc noi 100% neu chi co so nguoi hoan thanh ma thieu so doi tuong",true,"Seed: 거버넌스 / 윤리 모니터링 / 구성원 윤리교육 / 윤리교육 이수율",pilot_draft
pilot_qualitative,QL-001,qualitative,General,ESG management,,Strategy,ESG vision and mid-long term strategy,회사의 ESG 비전 및 중장기 전략은 무엇인가요?,Cong ty mo ta tam nhin ESG va chien luoc trung dai han nhu the nao?,long_text,,"","Khong duoc sao chep nguyen van dai dong neu tai lieu chi co mot khau hieu mo ho",true,"Seed: 일반 / ESG 경영 / 전략 / ESG 비전 및 중장기 전략",pilot_draft
pilot_qualitative,QL-002,qualitative,General,ESG management,,Governance,ESG governance and decision making,ESG 거버넌스 및 의사결정 체계는 어떻게 구성되어 있나요?,Co che quan tri va ra quyet dinh lien quan den ESG duoc to chuc ra sao?,long_text,,"","Khong duoc tra loi chi bang ten mot bo phan neu tai lieu mo ta co che day du hon",true,"Seed: 일반 / ESG 경영 / 거버넌스 / ESG 거버넌스 및 의사결정 체계",pilot_draft
pilot_qualitative,QL-003,qualitative,General,ESG management,,Risk Management,ESG risk identification and management,회사는 ESG 리스크를 어떻게 식별하고 관리하나요?,Cong ty nhan dien va quan ly rui ro ESG nhu the nao?,long_text,,"","Khong duoc tra loi bang tu khoa chung chung neu tai lieu co quy trinh cu the",true,"Seed: 일반 / ESG 경영 / 위험 관리 / ESG 리스크 식별 및 관리 체계",pilot_draft
pilot_qualitative,QL-004,qualitative,Social,Safety and health,,Strategy,Safety and health policy,안전보건 정책 및 목표는 무엇인가요?,Cong ty mo ta chinh sach va muc tieu an toan suc khoe nghe nghiep nhu the nao?,long_text,,"","Khong duoc chi tra loi 'tuan thu phap luat' neu tai lieu con co muc tieu quan tri noi bo",true,"Seed: 사회 / 안전 보건 / 전략 / 안전보건 정책 및 목표",pilot_draft
pilot_qualitative,QL-005,qualitative,Social,Safety and health,,Governance,Safety organization and responsibility,안전보건 관리 조직과 책임 체계는 어떻게 구성되어 있나요?,To chuc quan ly an toan suc khoe va phan cong trach nhiem duoc mo ta ra sao?,long_text,,"","Khong duoc rut gon qua muc chi con mot chuc danh",true,"Seed: 사회 / 안전 보건 / 거버넌스 / 안전보건 관리 조직 및 책임",pilot_draft
pilot_qualitative,QL-006,qualitative,Social,Safety and health,,Risk Management,Industrial safety risk prevention,산업안전 리스크를 어떻게 식별하고 예방하나요?,Cong ty nhan dien va phong ngua rui ro an toan lao dong nhu the nao?,long_text,,"","Khong duoc tra loi bang chinh sach neu cau hoi yeu cau hoat dong quan ly rui ro",true,"Seed: 사회 / 안전 보건 / 위험 관리 / 산업안전 리스크 식별 및 예방 활동",pilot_draft
