question_id,company_id,gold_answer_raw,gold_answer_normalized,answer_unit,disclosure_status,expert_verified,normalization_rule,scoring_rule,reporting_boundary,confidence,evidence_text
emni-0001,emni,20,20,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,총원 20
emni-0002,emni,23,23,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,23 (2024)
emni-0003,emni,29,29,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,29 (2023)
emni-0004,emni,50.0,50.0,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,남 10/20
emni-0005,emni,60.9,60.9,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,60.9 (2024)
emni-0006,emni,51.7,51.7,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,51.7 (2023)
emni-0007,emni,50.0,50.0,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,여 10/20
emni-0008,emni,39.1,39.1,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,39.1 (2024)
emni-0009,emni,48.3,48.3,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,48.3 (2023)
emni-0010,emni,10,10,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,정규직 남 10
emni-0011,emni,14,14,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,14 (2024)
emni-0012,emni,15,15,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,15 (2023)
emni-0013,emni,9,9,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,정규직 여 9
emni-0014,emni,7,7,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,7 (2024)
emni-0015,emni,12,12,명,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,12 (2023)
emni-0016,emni,95.0,95.0,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,정규직 19/20
emni-0017,emni,91.3,91.3,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,91.3 (2024)
emni-0018,emni,93.1,93.1,%,matched,True,identity_numeric_if_possible,value_match_with_unit,Korea,high,93.1 (2023)
emni-0019,emni,Not disclosed,NOT_DISCLOSED,명,Not disclosed,True,not_disclosed_to_canonical_token,abstain_expected,,,Not disclosed
emni-0020,emni,Not disclosed,NOT_DISCLOSED,명,Not disclosed,True,not_disclosed_to_canonical_token,abstain_expected,,,Not disclosed
