silver_id,company,package_name,question_type,difficulty,gri_code,question,ground_truth_answer,ground_truth_record_id,context_excerpt,qc_reason,sme_decision,sme_revised_question,sme_revised_answer,sme_notes,forbidden_rule
SV2-D-0001,한샘,한샘_dataset_package_20260608T042739,simple,easy,,㈜한샘의 지속가능경영 보고서는 몇 번째 발간되는 것인가요?,다섯 번째 발간하는 지속가능경영 보고서입니다.,rec_ea632bae09735059,"Sustainability Report 2024

About this Report 보고서 개요 해당 보고서는 ㈜한샘이 다섯 번째 발간하는 지속가능경영 보고서입니다. ㈜한샘은 회사의 지속가능경영 추진방향과 성과를 이해관계자들에게 투명하게 공개하고,
이를 기반으로 이해관계자와 활발히 소통하기 위하여 2024년 다섯 번째 지속가능경영보고서를 발간하고자 합니다. 본 보고서는 국문 및 영문으로 발간됩니다. 앞으로도 지속가능경영보고서 를 통해
이해관계자 여러분의 의견을 적극적으로 수렴하여 지속가능경영활동에 반영할 수 있도록 노력하겠습니다. 보고기간 본 보고서는 2023년 1월 1일부터 2023년 12월 31일까지의 ㈜한샘의 지속가능경영
관련 활동과 성과를 포함하고 있습니다. 정량적 성과에 대해서는 비교가능성 제고를 위",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0002,한샘,한샘_dataset_package_20260608T042739,simple,easy,,한샘의 지속가능경영 보고서는 몇 번째 발간인가요?,여섯 번째 지속가능경영 보고서입니다.,rec_fcab1197e3c245b6,"HANSSEM SUSTAINABILITY REPORT 2025

HANSSEM SUSTAINABILITY REPORT 2025 002 고양열 권미순 김기영 김동영 김세진 김소현 김소희 김신흥 김연의 김용태 김차연 Introduction Business
Fundamental Sustainability Performance Appendix Business Review About this Report 보고서 개요 본 보고서는 한샘이 발간하는 여섯 번째
지속가능경영 보고서로, 회사의 지속가능경영 추진 방향과 성과를 이해 관계자에게 투명하게 공개하고, 이를 바탕으로 활발한 소통을 이어가기 위해 작성되었습니다. 보고서는 국문 및 영문으로 발간되며,
앞으로도 이해관계자의 의견을 적극 수렴하고 이를 지속가능경영 활동에 반",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0005-E5,한샘,한샘_dataset_package_20260608T042739,reasoning,medium,,"한샘이 발간한 지속가능경영보고서는 몇 번째인지, 그 이유는 무엇인가요?",세 번째 보고서입니다.,rec_adf521a49feec751,"2022 HANSSEM SUSTAINABILITY REPORT 2022 한샘 지속가능경영보고서 2022 HANSSEM SUSTAINABILITY REPORT 2022 한샘 지속가능경영보고서

About this report ESG경영 내재화로 한샘만의 지속가능경영 체계를 구축합니다. 한샘이 지향하는 지속가능경영체계를 확립하고 사회적 책임의 성과를 이해관계자와 공유하기 위해 세 번째
보고서를 발간하게 되었습니다. 본 보고서는 한샘이 사업을 통해 창출하는 경제·환경·사회적 가치에 대해 보고하고 있습니다. 보고기준 GRI Standard (Core Option) 보고범위 본사 및
국내 사업장, 해외사업장(일부성과) * 데이터 범위: 연결 기준 * 일부 지표의 경우 국내 사업장으로 국한 보고경계 한샘 보고기간 20",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0006,한샘,한샘_dataset_package_20260608T042739,simple,easy,,한샘의 지속 가능성 보고서는 언제 발행되었나요?,2022년 8월에 발행되었습니다.,rec_24ea67414eabd179,"2022 HANSSEM SUSTAINABILITY REPORT 2022 HANSSEM SUSTAINABILITY REPORT

About this report By internalizing ESG management Hanssem builds its own sustainable management system. The
third report has been published to establish a sustainable management system that Hanssem is pursuing and to
share the achievements of social responsibility with stakeholders. This report reports on the economic,
environm",ok,reject,,,"ai_judge:reject conf=0.00; The answer does not specify the exact publication date, only the month and year, which is too vague.",The answer must provide a specific date or clear context from the report.
SV2-D-0008,한샘,한샘_dataset_package_20260608T042739,simple,easy,,한샘의 시장 가치는 얼마인가요?,748378910400,rec_aed5e8dc6d6699d8,"KRX company metadata
name: 한샘
market: KOSPI
market_cap: 748378910400
sector: None
industry_raw: 생활용품 도매업
industry_group: 소비재
size_tier: 중형
ticker: 009240",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0010,한샘,한샘_dataset_package_20260608T042739,simple,easy,,한샘은 언제부터 지속가능경영보고서를 발간하고 있나요?,2020년부터 3년 연속으로 지속가능경영보고서를 발간하고 있습니다.,rec_89c6e8dd36c4db22,"이정윤 기자 발행일 2022-08-10 23:49:54 댓글 0
발행일 2022-08-10 23:49:54
댓글 0
‘2022년 지속가능경영보고서’ 발간 종합 홈 인테리어 전문기업 ㈜한샘이 지난 ESG 경영의 현황 및 성과를 담은 ‘2022 한샘 지속가능경영보고서’를 발간했다. 한샘은 지난 2020년부터 3년 연속으로 지속가능경영보고서를 발간하면서 ESG 경영 활동을 이어가고 있다. 이번 보고서에는 지난해 한샘의 ESG 경영 성과와 올해 전략 과제 추진 사항 등의 내용이 담겼다. 한샘은 지난 2021년 이사회 중심 경영 체제를 구축하고, 이사회 산하 ESG 위원회를 설치하는 등 ESG 경영 체계를 강화한 바 있다. 올해는 ▲온실가스 배출 관리 강화 ▲친환경 제품 개발 ▲지속적 지역사회 공헌활동 ▲일과 삶의 ",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0011,한샘,한샘_dataset_package_20260608T042739,simple,easy,,한샘은 언제부터 지속가능경영보고서를 발간하고 있나요?,2020년부터 3년 연속으로 지속가능경영보고서를 발간하고 있습니다.,rec_2ac36b6aa8233480,"‘2022년 지속가능경영보고서’ 발간 종합 홈 인테리어 전문기업 ㈜한샘이 지난 ESG 경영의 현황 및 성과를 담은 ‘2022 한샘 지속가능경영보고서’를 발간했다. 한샘은 지난 2020년부터 3년
연속으로 지속가능경영보고서를 발간하면서 ESG 경영 활동을 이어가고 있다. 이번 보고서에는 지난해 한샘의 ESG 경영 성과와 올해 전략 과제 추진 사항 등의 내용이 담겼다. 한샘은 지난 2021년
이사회 중심 경영 체제를 구축하고, 이사회 산하 ESG 위원회를 설치하는 등 ESG 경영 체계를 강화한 바 있다. 올해는 ▲온실가스 배출 관리 강화 ▲친환경 제품 개발 ▲지속적 지역사회 공헌활동
▲일과 삶의 균형 구축 ▲협력사 동반성장 등의 활동을 이어가고 있다. 한샘은 지난해 한국기업지배구조원(KGCS)의 ESG경영 평가",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0012-E12,한샘,한샘_dataset_package_20260608T042739,multi_context,medium,,한샘은 지속가능경영보고서를 발간하기 시작한 해와 그 이후의 ESG 경영 활동에 대해 설명해 주실 수 있습니까?,"한샘은 2020년부터 3년 연속으로 지속가능경영보고서를 발간하고 있으며, ESG 경영 활동을 이어가고 있습니다. 최근 보고서에는 ESG 경영 성과와 전략 과제 추진 사항이 포함되어 있습니다.",rec_66100907c00656ec,"‘2022년 지속가능경영보고서’ 발간
종합 홈 인테리어 전문기업 ㈜한샘이 지난 ESG 경영의 현황 및 성과를 담은 ‘2022 한샘 지속가능경영보고서’를 발간했다. 한샘은 지난 2020년부터 3년 연속으로 지속가능경영보고서를 발간하면서 ESG 경영 활동을 이어가고 있다. 이번 보고서에는 지난해 한샘의 ESG 경영 성과와 올해 전략 과제 추진 사항 등의 내용이 담겼다. 한샘은 지난 2021년 이사회 중심 경영 체제를 구축하고, 이사회 산하 ESG 위원회를 설치하는 등 ESG 경영 체계를 강화한 바 있다. 올해는 ▲온실가스 배출 관리 강화 ▲친환경 제품 개발 ▲지속적 지역사회 공헌활동 ▲일과 삶의 균형 구축 ▲협력사 동반성장 등의 활동을 이어가고 있다. 한샘은 지난해 한국기업지배구조원(KGCS)의 ESG경영 평가",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0013,한샘,한샘_dataset_package_20260608T042739,simple,easy,,한샘이 발간한 지속가능경영보고서는 어떤 내용을 담고 있나요?,"ESG 경영 현황과 성과, 청사진을 담고 있습니다.",rec_86c98b945fc03e6d,"이전 기사보기 다음 기사보기 한샘, ESG 경영 성과‧청사진 담은 ‘지속가능경영보고서’ 발간 가 가 기사의 본문 내용은 이 글자크기로 변경됩니다. 스크롤 이동 상태바 가 가 기사의 본문 내용은 이
글자크기로 변경됩니다. 이 기사를 공유합니다 한샘이 발간한 2025 지속가능경영보고서 표지(사진=한샘) [백세경제=김인하 기자] 한샘이 글로벌 기준에 맞춰 ESG 경영 성과를 정리한 보고서를
내놨다. 한샘은 ESG(환경·사회·지배구조) 경영 현황과 성과, 청사진을 담은 ‘2025 지속가능경영보고서’를 발간했다고 1일 밝혔다. 한샘은 업계 리딩 기업으로서의 사회적 책임을 다하고자 작년에는
국제회계기준(IFRS) 산하 국제지속가능성기준위원회(ISSB)에서 제정한 지속가능성 보고 프레임워크를 반영한 데 이어, 올해는 유",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
SV2-D-0014-E14,한샘,한샘_dataset_package_20260608T042739,multi_context,medium,,한샘이 발간한 '2025 지속가능경영보고서'는 어떤 ESG 경영 성과와 청사진을 포함하고 있나요?,"ESG 경영 현황과 성과, 청사진을 담은 ‘2025 지속가능경영보고서’입니다.",rec_ce1fb6e4651850d3,"이전 기사보기 다음 기사보기 한샘, ESG 경영 성과‧청사진 담은 ‘지속가능경영보고서’ 발간 가 가 기사의 본문 내용은 이 글자크기로 변경됩니다. 스크롤 이동 상태바
이전 기사보기
다음 기사보기
한샘, ESG 경영 성과‧청사진 담은 ‘지속가능경영보고서’ 발간 가 가 기사의 본문 내용은 이 글자크기로 변경됩니다.
한샘, ESG 경영 성과‧청사진 담은 ‘지속가능경영보고서’ 발간
한샘, ESG 경영 성과‧청사진 담은 ‘지속가능경영보고서’ 발간
가 가 기사의 본문 내용은 이 글자크기로 변경됩니다.
가 가 기사의 본문 내용은 이 글자크기로 변경됩니다.
가 가 기사의 본문 내용은 이 글자크기로 변경됩니다.
가 가 기사의 본문 내용은 이 글자크기로 변경됩니다.
가 가
가
가
기사의 본문 내용은 이 글자크기로 변경됩니다.",ok,approve,,,ai_judge:approve conf=1.00; The answer is fully supported by the context provided.,Không thêm thông tin ngoài context; không suy đoán nếu thiếu số liệu
