package_name,company,question_id,question_type,area,category,subcategory,question_text_ko,answer_type,unit,forbidden_rule,gold_answer_ko,evidence_record_id,evidence_excerpt_ko,fill_status,answer_note
레이시온_dataset_package_20260608T055801,레이시온,QT-001,quantitative,사회,구성원 현황,총 구성원 수,보고 연도 기준 총 구성원 수는 얼마인가요?,number,명,총 수치가 없으면 일반 서술만으로 추정하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-002,quantitative,사회,구성원 현황,여성 구성원 비율,여성 구성원 비율은 몇 퍼센트인가요?,percentage,%,총 구성원 수 근거가 없으면 비율을 임의 계산하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-005,quantitative,사회,구성원 현황,총 신규 채용 인원 수,총 신규 채용 인원 수는 얼마인가요?,number,명,복수 연도 수치를 합쳐 답하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-006,quantitative,사회,구성원 현황,총 자발적 이직률,총 자발적 이직률은 몇 퍼센트인가요?,percentage,%,총 이직률 근거가 없는데 일부 수치로 대체하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-009,quantitative,사회,산업 재해,LTIFR,근로손실재해율(LTIFR)은 얼마인가요?,number,LTIFR,일반 재해율을 LTIFR로 바꿔 답하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-010,quantitative,환경,온실가스 및 에너지,총 온실가스 배출량,총 온실가스 배출량은 얼마인가요?,number,tCO2-eq,보고서에 총량이 있으면 Scope 1과 2를 임의 합산해 대체하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-011,quantitative,환경,온실가스 및 에너지,재생에너지 사용 비율,재생 에너지 사용 비율은 몇 퍼센트인가요?,percentage,%,에너지 총량 근거 없이 일부 수치만으로 비율 계산하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-013,quantitative,환경,환경 컴플라이언스,법규 및 규정 위반 건수,환경 관련 법규 및 규정 위반 건수는 몇 건인가요?,number,건,벌금 총액과 위반 건수를 하나의 값처럼 섞어 답하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-014,quantitative,거버넌스,윤리 모니터링,윤리 위반 제보 건수,윤리 위반 제보 건수는 몇 건인가요?,number,건,처리 건수를 제보 건수 대신 답하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
레이시온_dataset_package_20260608T055801,레이시온,QT-015,quantitative,거버넌스,윤리 모니터링,윤리교육 이수율,윤리교육 이수율은 몇 퍼센트인가요?,percentage,%,대상자 수 근거 없이 100%라고 단정하면 안 됨,,,,dataset_issue,패키지 내 주요 sustainability_report 텍스트가 레이시온 고유 ESG 본문이 아니라 공공기관/타사 페이지와 혼재되어 있어 gold answer로 사용하기 어려움
