shortlist_group,question_id,question_type,domain,category,subcategory,pillar,item,question_text_ko,question_text_vi,answer_type,unit,framework_refs,forbidden_rule,must_return_insufficient_if_missing,notes,status
shortlist_quantitative,QT-001,quantitative,Social,Constituent profile,Total employees,,,보고 연도 기준 총 구성원 수는 얼마인가요?,Tong so nhan su cua cong ty trong nam bao cao la bao nhieu?,number,명,"GRI:2-7-a","Khong duoc suy doan tu mo ta chung neu khong co so lieu tong",true,"Giu lai de dai dien cho headcount tong",shortlist_draft
shortlist_quantitative,QT-002,quantitative,Social,Constituent profile,Gender,,Female,여성 구성원 비율은 몇 퍼센트인가요?,Ty le nhan su nu trong tong lao dong la bao nhieu phan tram?,percentage,%,"GRI:405-1-b-i; K-ESG:S-3-1","Khong duoc tu tinh neu tai lieu thieu tong so lao dong",true,"Giu lai de dai dien diversity co ban",shortlist_draft
shortlist_quantitative,QT-005,quantitative,Social,Constituent profile,New hires total,,,총 신규 채용 인원 수는 얼마인가요?,Tong so nhan su moi duoc tuyen trong nam bao cao la bao nhieu?,number,명,"","Khong duoc gom nhieu ky bao cao vao mot dap an",true,"Giu lai de dai dien talent inflow",shortlist_draft
shortlist_quantitative,QT-006,quantitative,Social,Constituent profile,Voluntary turnover,,,총 자발적 이직률은 몇 퍼센트인가요?,Ty le tu nghi viec tu nguyen tong la bao nhieu phan tram?,percentage,%,"","Khong duoc dung ty le nghi viec tong neu tai lieu tach rieng ma khong co tong",true,"Giu lai de dai dien talent outflow",shortlist_draft
shortlist_quantitative,QT-009,quantitative,Social,Industrial accidents,Employee safety metrics,,LTIFR,근로손실재해율(LTIFR)은 얼마인가요?,Chi so LTIFR trong nam bao cao la bao nhieu?,number,LTIFR,"","Khong duoc thay LTIFR bang accident rate thong thuong",true,"Giu lai de dai dien safety metric chuyen sau",shortlist_draft
shortlist_quantitative,QT-010,quantitative,Environment,GHG and energy,GHG emissions,,Total emissions,총 온실가스 배출량은 얼마인가요?,Tong luong phat thai khi nha kinh la bao nhieu?,number,tCO2-eq,"","Khong duoc cong scope 1 va 2 neu tai lieu da co tong chinh thuc rieng",true,"Giu lai de dai dien climate core metric",shortlist_draft
shortlist_quantitative,QT-011,quantitative,Environment,GHG and energy,Renewable energy ratio,,,재생 에너지 사용 비율은 몇 퍼센트인가요?,Ty le su dung nang luong tai tao la bao nhieu phan tram?,percentage,%,"","Khong duoc tu tinh neu chi co mot phan du lieu nang luong",true,"Giu lai de dai dien transition metric",shortlist_draft
shortlist_quantitative,QT-013,quantitative,Environment,Environmental compliance,Violation count,,,환경 관련 법규 및 규정 위반 건수는 몇 건인가요?,So vu vi pham quy dinh phap ly ve moi truong la bao nhieu?,number,건,"","Khong duoc gom phat tien va vi pham thanh mot chi so",true,"Giu lai de dai dien compliance metric",shortlist_draft
shortlist_quantitative,QT-014,quantitative,Governance,Ethics monitoring,Whistleblowing reports,,,윤리 위반 제보 건수는 몇 건인가요?,So vu bao cao to cao vi pham dao duc la bao nhieu?,number,건,"","Khong duoc dung so vu da xu ly thay cho so vu duoc bao cao",true,"Giu lai de dai dien ethics incident metric",shortlist_draft
shortlist_quantitative,QT-015,quantitative,Governance,Ethics training,Completion rate,,,윤리교육 이수율은 몇 퍼센트인가요?,Ty le hoan thanh dao tao dao duc la bao nhieu phan tram?,percentage,%,"","Khong duoc noi 100% neu chi co so nguoi hoan thanh ma thieu so doi tuong",true,"Giu lai de dai dien preventive governance metric",shortlist_draft
